buff_id,buff_name,buff_detail,buff_sameadd_max,buff_maxtime,buff_interface_show_flag
30018,Bất Khả Động,Miễn nhiễm khi bị tấn công bởi đòn yếu,1,-1.0,0
30019,Suy nhược,Tăng sát thương gây ra bởi người tung chưởng Chân Khí Đoàn,1,8.0,0
30020,Cảm ứng,,1,7.5,0
30021,Cảm nhận,,1,7.5,0
30022,Cảm Giác,,1,7.5,0
30023,Cảm ứng,,1,7.5,0
30024,Cảm ứng,,1,7.5,0
30025,Cảm ứng,,1,7.5,0
30026,Cảm ứng,,1,7.5,0
30027,Lỗ hổng,"Trạng thái Lộ Tẩy, tăng sát thương Chân Khí nhận phải",1,10.0,0
30028,Khán Phá,"Phòng ngự thành công sẽ tiến vào trạng thái Khán Phá, sát thương gây ra tăng lên.",1,10.0,0
30029,Bất Khả Động (Bất tử/Bất hoại),,1,15.0,0
30101,Định Thân,,1,3.0,0
30102,Cảm Giác,,1,7.5,0
30103,Vô Địch,,1,1.5,0
30201,Liên kích,,1,6.0,0
30202,Liên kích,,1,6.0,0
30203,Giải Võ,,1,300.0,0
30204,Liên Kích,,1,3.0,0
30205,Liên kích,,1,3.0,0
30206,Bị thương,,3,9.5,0
30207,Tăng hiệu lực,,1,15.0,0
30208,Lãnh địa · Bản thân,,1,-1.0,0
30209,Lãnh Địa · Thân Thiện,,1,-1.0,0
30210,Lĩnh vực · Kẻ địch,,1,-1.0,0
30301,Không thể chọn,,1,7.5,0
30302,Tăng sát thương,Tăng sát thương gây ra,1,8.0,0
30303,Khiên chắn,"Tăng cường lá chắn, chống đỡ sát thương",1,15.0,0
30304,Giảm sát thương,Giảm sát thương nhận vào,1,10.0,0
30305,Suy nhược,Giảm sát thương gây ra,1,8.0,0
30306,Khiêu khích,Chịu hiệu ứng khiêu khích,1,15.0,0
30307,Bạo Tẩu,,1,6.0,0
30308,Hoang Hỏa,Chuyển dịch sát thương nhận được,1,6.0,0
30309,Trầm mặc,Cấm sử dụng kỹ năng chủ động,1,3.0,0
30310,Thiết Bố Sam,"Có trạng thái Bá Thể và miễn nhiễm hoàn toàn sát thương của một đòn tấn công, miễn nhiễm với các trạng thái bất lợi tự gây ra",3,15.0,0
30311,Kim Cương Phá,Kim Cương Phá,1,15.0,0
30312,Choáng Váng,"Choáng váng, không thể di chuyển hoặc sử dụng hầu hết kỹ năng",1,3.0,0
30313,Yếu ớt,Tăng 15% sát thương phải chịu,1,10.0,0
30314,Say xỉn,"Tăng 25% lực Tấn công bản thân, hút máu bằng 20% sát thương kỹ năng nhận được",1,8.0,0
30315,Không thể chọn,,1,30.0,0
30316,Cấm nhảy,,1,6.0,0
30317,Bất Diệt Thân,,1,6.0,0
30318,Thoát chiến,,1,30.0,0
30319,Hủy bỏ va chạm,,1,10.0,0
30320,Định Thân,"Bị định thân, không thể di chuyển hoặc sử dụng phần lớn kỹ năng",1,5.0,0
30321,Thi Nghiệp,"70% sát thương gây ra lên mục tiêu sẽ được hoàn trả lại cho bản thân trong một khoảng thời gian tiếp theo, thi triển liên tục nhiều kỹ năng sẽ cộng dồn sát thương.",1,10.0,0
30322,Khiêu khích,Phần trăm sát thương gây ra trong thời gian tiếp theo sẽ được chuyển sang bên tạo hiệu ứng,1,15.0,0
30323,Giảm sát thương,Giảm sát thương nhận vào,1,5.0,0
30324,Định Thân,"Bị định thân, không thể di chuyển hoặc sử dụng hầu hết kỹ năng",1,3.0,0
30325,Bất Khả Đánh Ngắt,,1,-1.0,0
30326,Đánh dấu,,1,2.0,0
30327,Trúng độc,"Do nước độc Huỳnh Uyên xâm nhập cơ thể, khí huyết dần hao tổn đến mức trọng thương, rời khỏi phạm vi nước độc sẽ hồi phục.",1,-1.0,0
30328,Trào phúng,,1,3.0,0
30329,Trầm mặc,Cấm sử dụng kỹ năng chủ động,1,3.0,0
30330,Bị thương do lạnh,"Do bị bỏng lạnh gây ra, khí huyết sẽ dần hao tổn cho đến khi trọng thương, rời khỏi phạm vi lạnh giá hoặc tìm đống lửa để sưởi ấm và hồi phục.",1,-1.0,0
30331,Hấp thụ,,1,5.2,0
30332,Giảm tốc,Giảm 70% tốc độ di chuyển,1,3.0,0
30333,Giảm sát thương,Giảm 30% sát thương nhận vào,1,6.0,0
30334,Giảm sát thương,Giảm 50% sát thương nhận vào,1,6.0,0
30335,Đom đóm,,1,30.0,0
30336,Định Thân,"Bị định thân, không thể di chuyển hoặc sử dụng hầu hết kỹ năng",1,5.0,0
30337,Định Thân,"Bị định thân, không thể di chuyển hoặc sử dụng hầu hết kỹ năng",1,5.0,0
30338,Định Thân,"Bị định thân, không thể di chuyển hoặc sử dụng phần lớn kỹ năng",1,5.0,0
30339,Định Thân,"Bị định thân, không thể di chuyển hoặc sử dụng hầu hết kỹ năng",1,5.0,0
30340,Định Thân,"Bị định thân, không thể di chuyển hoặc sử dụng hầu hết kỹ năng",1,5.0,0
30341,Định Thân,"Bị định thân, không thể di chuyển hoặc sử dụng hầu hết kỹ năng",1,5.0,0
30342,Nín Thở,,1,8.0,0
30343,Quan sát vật lý,,1,3.0,0
30344,Hấp thụ,,1,2.6,0
30346,Đại Diễn Độn Nhất,"Khi sắp bị tấn công từ xa, có xác suất tiến vào trạng thái Đại Diễn Độn Nhất, hóa giải đòn tấn công",1,30.0,0
30347,Sư Hống,,1,10.0,0
30348,Túy Quyền,,1,6.0,0
30349,Định Thân,,1,3.0,0
30350,Trúng độc,"Do độc tố từ phấn hoa của Huyễn Ca Bách Mục Liên xâm nhập cơ thể, khí huyết sẽ dần hao hụt cho đến khi trọng thương, rời khỏi phạm vi khí độc của Bách Mục Liên sẽ hồi phục.",1,-1.0,0
30351,Nọc Ong,"Nọc độc Kim Châm Mật ngữ thấm vào cơ thể, gây sát thương liên tục trong thời gian ngắn",1,10.0,0
30352,Bất Khả Động,Miễn nhiễm nhận sát thương từ đòn tấn công yếu,1,5.0,0
30353,Nọc ong,"Độc dịch của Kim Châm Ong Thì Thầm thấm vào cơ thể, gây sát thương liên tục trong thời gian ngắn",1,10.0,0
30354,Tiểu Thập Thất,,1,20.0,0
30355,Khí chém lưỡi đao,"Khí sắc bén tích lũy qua năm tháng rèn giũ binh giáp của Tiểu Thập Thất, đầy đủ sẽ bạo thể mà chết.",1,1.0,0
30356,Cấm hành quyết,,1,10.0,0
30357,Bất Khả Đánh Ngắt,,1,30.0,0
30358,Vô Địch,,1,-1.0,0
30359,Miễn khống chế,Miễn nhiễm hiệu ứng khống chế,1,0.9,0
30361,Cấm Nhảy,,1,3.0,0
30362,Quan vật lý,,1,-1.0,0
30363,Hồi phục chân khí,,1,2.0,0
30364,Bất Khả Hủy,,1,1.0,0
30365,Định Thân,"Bị định thân, không thể di chuyển hoặc sử dụng hầu hết kỹ năng",1,1.0,0
30366,Khiên chắn,"Hoàn toàn miễn nhiễm ba đòn sát thương đầu tiên nhận phải, và miễn nhiễm sát thương Chân Khí trong suốt thời gian lá chắn duy trì.",1,3.0,0
30367,Định Thân,"Bị định thân, không thể di chuyển hoặc sử dụng hầu hết kỹ năng",1,0.5,0
30368,Hết sức,Tốc độ hồi phục thể lực giảm 50%,1,10.0,0
30369,Bị thương,Liên tục chịu sát thương,1,5.0,0
30370,Tài nguyên phím tắt,,1,4.0,0
30371,Tài nguyên phím tắt,,1,4.0,0
30372,Vô Song,"Bá thể cường đại đồng thời miễn nhiễm sát thương Chân Khí, giảm 90% sát thương Khí Huyết phải chịu.",1,5.0,0
30373,Chế nhạo,Nhận hiệu ứng khiêu khích.,1,10.0,0
30374,Châm biếm,"Nhận hiệu ứng Khiêu khích, một tỷ lệ phần trăm sát thương gây ra trong thời gian tới sẽ chuyển sang cho nguồn gây ra hiệu ứng",1,10.0,0
30375,Châm biếm,,1,15.0,0
30376,Giảm sát thương,Giảm 40% sát thương nhận vào,1,20.0,0
30377,Khiêu khích,Nhận hiệu ứng khiêu khích.,1,20.0,0
30378,Khiêu khích,"Nhận hiệu ứng khiêu khích, phần trăm sát thương gây ra trong thời gian tiếp theo sẽ chuyển sang bên gây ra hiệu ứng",1,20.0,0
30379,Giảm sát thương,Giảm 30% sát thương nhận vào,1,10.0,0
30380,Quan vật lý,,1,5.0,0
30381,Miễn tử,,1,-1.0,0
30382,Đạn đạo AL,,1,2.0,0
30383,Trị liệu,,1,4.0,0
30384,Biến thân,,1,-1.0,0
30385,Biến thân,,1,-1.0,0
30386,Biến thân,,1,-1.0,0
30387,Biến thân,,1,-1.0,0
30388,Biến thân,,1,-1.0,0
30389,Biến thân,,1,-1.0,0
30390,Biến thân,,1,-1.0,0
30391,Biến thân,,1,-1.0,0
30392,Biến thân,,1,-1.0,0
30393,Biến thân,,1,-1.0,0
30394,Biến thân,,1,-1.0,0
30395,Biến thân,,1,-1.0,0
30396,Biến thân,,1,-1.0,0
30397,Biến thân,,1,-1.0,0
30398,Biến thân,,1,-1.0,0
30399,Bất động,"Bị Định Thân, không thể di chuyển hoặc sử dụng hầu hết kỹ năng",1,5.0,0
30400,Giảm tốc độ,Giảm 70% tốc độ di chuyển,1,8.0,0
30401,Hỗn Loạn,Điều khiển cần gạt bị đảo ngược,1,7.0,0
30402,Choáng váng,"Bị choáng, không thể di chuyển hoặc sử dụng hầu hết kỹ năng",1,5.0,0
30403,Ảnh Quỷ,Thao tác nhập hướng bị đảo ngược,1,7.0,0
30404,Cuồng Phong,Khi bị tấn công sẽ hóa thân thành Y Đao phản kích mục tiêu,1,15.0,0
30405,Châm chọc,Phần trăm sát thương gây ra trong thời gian tiếp theo sẽ được chuyển sang nguồn hiệu ứng,1,10.0,0
30406,Giảm sát thương,Giảm 60% sát thương nhận vào,1,10.0,0
30407,Hộ Vệ,"Không thể bị khóa, giảm sát thương nhận vào",1,1.0,0
30408,Bom hẹn giờ,Sau 10 giây đếm ngược sẽ nhận sát thương bằng 30% máu tối đa,1,8.1,0
30409,Trầm mặc,Cấm sử dụng kỹ năng chủ động,1,2.0,0
30410,Triều Vũ Khinh Trần,"Chịu sát thương, kéo dài 6 giây.",1,5.11,0
30411,Mất mục tiêu,,1,6.0,0
30412,Định Thân,"Bị định thân, không thể di chuyển hoặc sử dụng hầu hết kỹ năng",1,1.0,0
30413,Tầm nhìn,,1,30.0,0
30414,Độc Hoa,,1,1.0,0
30415,Trúng độc,"Dính phải khí độc, nhận sát thương liên tục",1,15.0,0
30416,Không cho phép khóa,,1,-1.0,0
30417,Khiên bảo vệ,"Tạo ra một lá chắn có thể hấp thụ sát thương Chân Khí. Trong thời gian lá chắn duy trì, miễn nhiễm với sát thương Chân Khí.",1,8.0,0
30418,Hạn chế di chuyển,"Không thể chạy nhanh, nhảy hai ba bước, lên ngựa",1,2.0,0
30419,Bất Khả Đánh,Miễn nhiễm hiệu ứng cứng đờ và khống chế,1,6.0,0
30420,Ẩn thân,,1,-1.0,0
30421,Đạn đạo AL,,1,3.0,0
30422,Đạn đạo AL,,1,3.0,0
30423,Đạn đạo AL,,1,3.0,0
30424,Tâm ma tăng buff,,1,-1.0,0
30425,Pháp trận,,1,5.0,0
30426,Bạo Liệt,,1,11.0,0
30427,Bạo tạc,,1,11.0,0
30428,Bạo Liệt,,1,11.0,0
30429,Mặt đấtAL,,1,-1.0,0
30430,Nỏ máy,,1,-1.0,0
30431,Cảm Tri,,1,5.0,0
30432,Bá thể,,1,-1.0,0
30433,Hoàn mỹ né tránh,,1,8.0,0
30434,Bá Thể,,1,-1.0,0
30435,Đánh dấu,,1,3.0,0
30436,Động hiệu,,1,1.0,0
30437,Không thể chọn,,1,-1.0,0
30438,Bá Thể,,1,15.0,0
30439,Vô địch,,1,-1.0,0
30440,Định thân,"Bị định thân, không thể di chuyển hoặc tung ra hầu hết các kỹ năng",1,1.0,0
30441,Tuyết Đỉnh,,1,0.5,0
30450,Thiếu niên,,1,-1.0,0
30451,Thiếu nữ,,1,-1.0,0
30454,Giảm thương,Giảm 40% sát thương phải chịu,1,16.0,0
30460,Bá Thể,Miễn dịch hiệu quả khống chế và cứng người,1,2.0,0
30461,Im lặng,Không thể thi triển kỹ năng võ học và kỳ thuật.,1,3.0,0
30478,Cảm tri,,1,5.0,0
30479,Cảm tri,,1,5.0,0
30480,Hương hiệu phản hồn,"Nhận được kỹ năng, có thể hồi sinh mục tiêu trọng thương của người nước này",1,7.0,0
30482,Tâm đào,"Tâm hình như đào, chỉ vì yêu ngươi trong kiếp nạn khó trốn.",1,8.0,0
30484,Khuyết điểm,Khuyết điểm là khuyết điểm bạn.,1,8.0,0
30485,Phiêu Phiêu,Như vậy sẽ nâng ngươi trong lòng bàn tay.,1,8.0,0
30491,Cảm Tri,,1,5.0,0
30500,Định thân,"Bị định thân, không thể di chuyển hoặc thi triển phần lớn kỹ năng",1,6.0,0
30503,Gân tý,Không thể sử dụng Windrider,1,1.0,0
30504,Tĩnh chỉ,Vào trạng thái tĩnh,1,1.0,0
30505,Hư ảo,Miễn dịch với tất cả các hiệu ứng sát thương,1,3.0,0
30506,Hư ảo,Miễn dịch với tất cả hiệu ứng sát thương và hiệu ứng khống chế,1,3.0,0
30508,Im lặng,Không thể thi triển Võ học và Kỹ năng Kỳ thuật.,1,3.0,0
40001,Khí Kiệt,"Bị định thân, không thể di chuyển hoặc sử dụng hầu hết kỹ năng",1,2.0,0
40002,Định Thân,"Bị định thân, không thể di chuyển hoặc sử dụng phần lớn kỹ năng",1,4.5,0
40003,Không thể chọn,,1,-1.0,0
50000,Miêu Nghiện · Nhất Trọng,"Khi có mèo ở gần, tốc độ di chuyển giảm 20%",1,-1.0,0
50001,Nghiện mèo · Nhị Trọng,"Khi có mèo gần đó, tốc độ di chuyển giảm 30%",1,-1.0,0
50002,Miêu nghiện · Trọng,"Khi có mèo ở gần, tốc độ di chuyển giảm 50%",1,-1.0,0
50003,Nghiện mèo · Tứ Trọng,"Khi có mèo gần đó, tốc độ di chuyển giảm 80%",1,-1.0,0
50004,Nghiện mèo · Nhất Trọng,"Khi có mèo gần đó, tốc độ di chuyển giảm 20%",1,-1.0,0
50005,Nghiện Mèo · Nhị Trọng,"Khi có mèo gần đó, tốc độ di chuyển giảm 30%",1,-1.0,0
50006,Miêu Dẫn · Tam Trọng,"Khi có mèo gần đó, tốc độ di chuyển giảm 50%",1,-1.0,0
50007,Nghiện mèo · Tứ tầng,"Khi có mèo ở gần, tốc độ di chuyển giảm 80%",1,-1.0,0
50008,Nghiện mèo · Nhất Trọng,,1,-1.0,0
50009,Nghiện mèo · Nhị Trọng,,1,-1.0,0
50010,Mèo nghiện · Trọng tam,,1,-1.0,0
50011,Mèo Nghiện · Tứ Trọng,,1,-1.0,0
50013,Điểm huyệt thành công,,1,20.0,0
50101,Hồi phục Khí Huyết,,1,0.2,0
50102,Khí Huyết giảm,,1,0.2,0
50103,Dễ dàng hóa trang thành người giảng kinh (nam),,1,-1.0,0
50104,Dễ dung thành người giảng kinh nữ,,1,-1.0,0
50105,Không thấy boss dã ngoại Ngô Công thêm buff trang điểm,,1,,0
70001,Đánh bại ngay lập tức,,1,-1.0,0
70002,Đánh dấu bội số,,1,-1.0,0
70003,Nhân ba lần đối với đối tượng nào đó,,1,-1.0,0
70004,Miễn nhiễm điểm quyết toán nào đó,,1,-1.0,0
70005,Bất Tử Bất Diệt,Bất Hoại Thân,1,-1.0,0
70006,Kẻ bị đánh bại sẽ nhận dấu hiệu buff,,1,-1.0,0
70007,Kiểm tra kết nối,,1,-1.0,0
70008,Giảm sát thương,,1,20.0,0
70009,Mong manh,,1,-1.0,0
70010,Dễ bị thương,,1,-1.0,0
70011,Cứng rắn,,1,-1.0,0
70012,Lại gần quả cầu lửa,Trầm mặc,1,15.0,0
70013,Bỏng rát,Hơi sốt,1,15.0,0
70014,Cắt Xẻ,,1,3.0,0
70015,Tăng cường,Linh Đăng,1,20.0,0
70016,Bạo Liệt,,1,13.5,0
70017,Chọc thủng,,1,15.0,0
70018,Liên kết,Mau tránh xa,1,20.0,0
70019,Giảm sát thương,,1,-1.0,0
70020,Tăng cường,,1,-1.0,0
70021,Định Thân,"Bị định thân, không thể di chuyển hoặc sử dụng hầu hết kỹ năng",1,15.0,0
70022,Chết đuối,"Chết đuối, đồng thời giảm hiệu quả hồi phục nhận được",1,15.0,0
70023,Miễn nhiễm,,1,12.0,0
70024,Miễn nhiễm,,1,12.0,0
70025,Miễn nhiễm đạn đao,Miễn nhiễm Đạn Đao,1,-1.0,0
70026,Cường hóa trị liệu,,1,-1.0,0
70027,Giảm sát thương,,1,-1.0,0
70028,Tăng phúc,,1,-1.0,0
70029,Tăng cường,,1,-1.0,0
70030,Dễ bị thương,Tăng sát thương nhận vào,5,40.0,0
70031,Hiệu ứng đặc biệt,,1,-1.0,0
70032,Hiệu ứng đặc biệt,,1,-1.0,0
70033,Hiệu ứng,,1,-1.0,0
70034,Hiệu ứng đặc biệt,,1,-1.0,0
70035,Đẩy bay,,1,-1.0,0
70036,Hiệu ứng,,1,-1.0,0
70037,Hiệu ứng,,1,-1.0,0
70038,Hiệu ứng,,1,-1.0,0
70039,Hiệu ứng đặc biệt,,1,-1.0,0
70040,Hiệu ứng,,1,5.0,0
70041,Định Thân,,1,2.5,0
70042,Cửu Huyền Dịch Pháp,,1,-1.0,0
70043,Cửu Huyền Dịch Pháp,,1,-1.0,0
70044,Hỗn loạn,"Không phân hướng đi, xin hãy bình tĩnh!",1,30.0,0
70045,Cường hóa,"Vô Tướng Hoàng nổi giận, trở nên khó đối phó hơn",3,300.0,0
70046,Lực đẩy,,1,1.0,0
70047,Hàn Độc,"Chịu sát thương độc liên tục, tầng càng cao sát thương càng lớn, đồng thời sẽ khóa một số võ học không thể sử dụng, tầng bốn sẽ gây ra một đợt sát thương bùng nổ",4,15.0,0
70048,Hàn độc bộc phát,"Hàn độc bùng phát, gây hiệu ứng hôn mê và một lần sát thương bộc phát nhưng sẽ kích hoạt một lần Hàn độc\"" được thanh tẩy\""",1,2.0,0
70049,Ký ức tiền duyên,,1,-1.0,0
70050,Kiếp đời này,,1,-1.0,0
70051,Lai Sinh Oán,,1,-1.0,0
70052,Tam Sinh Giải,,1,-1.0,0
70053,Tam Sinh Độc,,1,2.0,0
70054,Tam Sinh Độc,,1,2.0,0
70055,Sinh trưởng,,1,185.0,0
70056,Thúc chín,,1,2.0,0
70057,Trưởng thành,,1,5.0,0
70058,Hàn độc bộc phát,"Độc Tam Sinh Mộng Khế bộc phát, gây hiệu ứng hôn mê và một lần sát thương bùng nổ",1,3.5,0
70059,Tam Sinh Giải,,1,2.0,0
70060,Mộng Triền,,1,2.0,0
70061,Tăng tốc,,1,3.0,0
70062,Hủy bỏ va chạm,,1,2.0,0
70063,Vô Địch,,1,-1.0,0
70064,Nóng rực,"Nóng bức khó chịu, nhận sát thương thiêu đốt liên tục",1,-1.0,0
70065,Hồi phục,,1,2.0,0
70066,Bị bỏng,,1,-1.0,0
70067,Dùng để kiểm tra,,1,-1.0,0
70068,Giảm sát thương,,1,-1.0,0
70069,Tăng Phúc,,1,-1.0,0
70070,Tăng phúc,,1,-1.0,0
70071,Định Thân,,1,5.0,0
70072,Bạo phát,,1,5.0,0
70073,Tam Sinh Giải,,1,5.0,0
70074,Hàn độc,,1,15.0,0
70075,Hàn độc,,1,15.0,0
70076,Hàn Độc,,1,15.0,0
70077,Hàn độc,,1,15.0,0
70078,Hàn Độc,,1,15.0,0
70079,Tam Sinh Mộng Khế,,1,-1.0,0
70080,Bộc phát,,1,2.0,0
70081,Trưởng thành,,1,5.0,0
70082,Tam Sinh Mộng Khế,,1,16.0,0
70083,Chỉnh Sửa Sinh Tồn Dừng Chiến,,1,-1.0,0
70084,Gai nhọn,,1,-1.0,0
70085,Hôn mê,,1,60.0,0
70086,Hôn mê,,1,60.0,0
70087,Hôn mê,,1,60.0,0
70088,Hôn mê,,1,60.0,0
70089,Hiệu ứng đặc biệt,,1,5.0,0
70090,Cô Hồng Ảnh,,1,5.2,0
70091,Định Thân,,1,4.5,0
70092,Phong Vân Vô Tướng,,1,-1.0,0
70093,Phong Vân Vô Tướng,,1,-1.0,0
70094,Thử nghiệm,Trầm mặc,1,15.0,0
70097,Hiệu ứng đặc biệt,,1,-1.0,0
70098,Hiệu ứng đặc biệt,,1,-1.0,0
70099,Thử nghiệm,,1,3.0,0
70100,Thử nghiệm,,1,3.0,0
70101,Đánh bại ngay lập tức,,1,-1.0,0
70102,Định Thân,,1,60.0,0
70103,Trảm Bạch Nhật,,1,-1.0,0
70104,Giảm chân khí thương,,1,-1.0,0
70105,Trầm mặc,Trầm mặc,1,600.0,0
70108,Trừ bỏ trạng thái Câm Lặng,Trừ bỏ câm lặng,1,3.0,0
70110,Miễn nhiễm câm lặng,Miễn nhiễm Câm Lặng,1,600.0,0
70112,Loại bỏ miễn nhiễm câm lặng,Loại bỏ miễn nhiễm câm lặng,1,3.0,0
