buff_id,buff_name_text,buff_detail_text,buff_type,buff_maxtime,buff_show_flag
30102,Awareness,,1,7.5,1
30103,Invincibility,,1,1.5,1
30201,Combo,,1,6,1
30202,Combo,,1,6,1
30203,Disarm,,1,300,0
30204,Combo,,1,3,0
30205,Combo,,1,3,0
30206,Injured,,1,9.5,0
30207,Amplification,,1,15,1
30208,Domain - Self,,1,-1,0
30209,Domain - Friendly,,1,-1,0
30210,Domain - Enemy,,1,-1,0
30301,Cannot be Selected,,1,7.5,1
30302,Damage Boost,Increases damage dealt,1,8,0
30303,Shield,Bonus shield to block damage,1,15,0
30304,DMG Reduction,Reduces damage taken,1,10,0
30305,Weakened,Reduces damage dealt,1,8,0
30306,Taunt,Becomes Taunted,1,15,0
30307,Berserk,,1,6,1
30308,Wildfire,Redirects damage taken,1,6,0
30309,Silence,Active Skill Disabled,1,3,0
30310,Iron Body,"Gain Super Armor, completely negate one incoming attack, and become immune to all debuffs against you",1,15,0
30311,Body Breaker,Body Breaker,1,15,0
30312,Stun,"Being stunned, unable to move or cast most skills",1,3,0
30313,Fragile,Increases damage taken by 15%,1,10,0
30314,Drunkenness,Increases your Attack by 25% and allows you to drain HP equal to 20% of the skill damage,1,8,0
30315,Cannot be Selected,,1,30,1
30316,Jump Disabled,,1,6,1
30317,Super Armor,,1,6,1
30318,Leave Combat,,1,30,1
30319,Collision removed,,1,10,1
30320,Immobilized,Immobilized; unable to move or cast most skills,1,5,0
30321,Karmic Burden,70% of your damage dealt to the target will be returned to you later. Casting multiple skills will stack this damage.,1,10,0
30322,Taunt,Transfers a percentage of damage dealt over a certain period to the effect's source,1,15,0
30323,DMG Reduction,Reduces damage taken,1,5,0
30324,Immobilized,Immobilized; unable to move or cast most skills,1,3,0
30325,Super Armor,,2,-1,1
30326,Mark,,1,2,1
30327,Poisoned,"The poisonous water from the Gleaming Abyss enters your body, causing you to lose HP over time until you are defeated. Leave the poisonous water to recover.",2,-1,0
30328,Taunt,,1,3,1
30329,Silence,Active Skill Disabled,1,3,0
30330,Frostbite,The chilling cold causes you to lose HP over time until you are defeated. Leave the cold area or find a campfire to recover.,2,-1,0
30331,Absorb,,1,5.2,1
30332,Slow Down,Reduces Movement Speed by 70%,1,3,0
30333,DMG Reduction,Reduces damage taken by 30%.,1,6,0
30334,DMG Reduction,Reduces damage taken by 50%.,1,6,0
30335,Firefly,,1,30,1
30336,Immobilized,Immobilized; unable to move or cast most skills,1,5,0
30337,Immobilized,Immobilized; unable to move or cast most skills,1,5,0
30338,Immobilized,Immobilized; unable to move or cast most skills,1,5,0
30339,Immobilized,Immobilized; unable to move or cast most skills,1,5,0
30340,Immobilized,Immobilized; unable to move or cast most skills,1,5,0
30341,Immobilized,Immobilized; unable to move or cast most skills,1,5,0
30342,Breath-hold,,1,8,1
30343,Turn off Physics,,1,3,1
30344,Absorb,,1,2.6,1
30346,Great Evasion,"When a ranged attack is about to hit you, you have a chance to enter Great Evasion, deflecting the attack",1,30,0
30347,Lion's Roar,,1,10,1
30348,Drunken Fist,,1,6,1
30349,Immobilized,,1,3,1
30350,Poisoned,"The powder of Enchanting Lotus enters your body, causing you to lose HP until you become seriously injured. Leave the Enchanting Lotus's poison range to recover.",2,-1,0
30351,Bee Venom,"The venom from Whisper Bee's sting enters your body, causing you to take damage continuously over a short time",2,10,0
30352,Super Armor,Immune to Weak Attack's Stagger Effect,1,5,1
30353,Bee Venom,"The venom from Whisper Bee's sting enters your body, causing you to take damage continuously over a short time",2,10,0
30354,Lucky Seventeen,,1,20,1
30355,Chopping Blade Qi,"Lucky Seventeen's years of forging weapons condensed into this lethal energy. Once accumulated full, those affected will die from a fatal explosion.",1,1,1
30356,Execute Disabled,,1,10,1
30357,Super Armor,,1,30,1
30358,Invincibility,,1,-1,1
30359,Control Immunity,Immune to crowd control effects,1,0.9,1
30361,Jump Disabled,,1,3,1
30362,Turn off Physics,,1,-1,1
30363,Qi Regeneration,,1,2,1
30364,Super Armor,,1,1,1
30365,Immobilized,Immobilized; unable to move or cast most skills,1,2,0
30366,Shield,Completely negates the first three instances of incoming damage and gains immunity to Qi damage while the shield lasts.,1,3,0
30367,Immobilized,Immobilized; unable to move or cast most skills,1,1,0
30368,Fatigue,Reduces Endurance Recovery by 50%,1,10,0
30369,Injured,Take damage over time,1,5,0
30370,Button Resource,,1,4,1
30371,Button Resource,,1,4,1
30372,Unrivaled,Gain Ultimate Armor and immunity to Qi damage. Reduce HP damage taken by 90%,1,5,0
30373,Taunt,Gain Taunt.,1,15,0
30374,Taunt,Gain Taunt. Transfer a percentage of damage dealt over a certain period to the effect's source,1,15,0
30375,Taunt,,1,15,1
30376,DMG Reduction,Reduces damage taken by 40%,1,20,0
30377,Taunt,Gain Taunt.,1,20,0
30378,Taunt,Gain Taunt. Transfer a percentage of damage dealt over a certain period to the effect's source,1,20,0
30379,DMG Reduction,Reduces damage taken by 30%,1,10,0
30380,Turn off Physics,,1,5,1
30381,Death Immunity,,1,-1,1
30382,Projectile AL,,1,2,1
30383,Heal,,1,4,1
30384,Transformation,,1,-1,1
30385,Transformation,,1,-1,1
30386,Transformation,,1,-1,1
30387,Transformation,,1,-1,1
30388,Transformation,,1,-1,1
30389,Transformation,,1,-1,1
30390,Transformation,,1,-1,1
30391,Transformation,,1,-1,1
30392,Transformation,,1,-1,1
30393,Transformation,,1,-1,1
30394,Transformation,,1,-1,1
30395,Transformation,,1,-1,1
30396,Transformation,,1,-1,1
30397,Transformation,,1,-1,1
30398,Transformation,,1,-1,1
30399,Steady,Immobilized; unable to move or cast most skills,1,7,0
30400,Slow Down,Reduces Movement Speed by 70%,1,8,0
30401,Chaos,Inversed Stick,1,7,0
30402,Stun,"Being stunned, unable to move or cast most skills",1,5,0
30403,Haunted,All movement directions entered become inversed,1,7,0
30404,Gust,"When attacked, transform into Yi Dao and launch a counter attack against the target",1,15,0
30405,Taunt,Transfers a percentage of damage dealt over a certain period to the effect's source,1,10,0
30406,DMG Reduction,Reduces damage taken by 60%.,1,10,0
30407,Protection,Unable to be locked. Take reduced damage,1,1,0
30408,Time Bomb,Take damage equal to 30% of Max HP after a 10-second countdown,1,11,0
30409,Silence,Active Skill Disabled,1,5,0
30410,Light Dust After Morning Rain,Take damage over 6 seconds.,1,5.11,0
30411,Target lost,,1,6,1
30412,Immobilized,Immobilized; unable to move or cast most skills,1,1,0
30413,Vision,,1,30,1
30414,Poison Flower,,1,1,1
30415,Poisoned,Become affected by a poison gas and take damage over time,1,15,0
30416,Unable to be locked,,1,-1,1
30417,Shield,"Generate a shield that absorbs Qi damage. While the shield is active, you are immune to Qi damage.",1,8,0
30418,Movement Restriction,"Unable to sprint, double/triple jump, or mount horse",1,2,0
30419,Super Armor,Immune to stagger and crowd control effects,1,6,0
30420,Invisibility,,1,-1,1
30421,Projectile AL,,1,3,1
30422,Projectile AL,,1,3,1
30423,Projectile AL,,1,3,1
30424,Inner Demon Bonus Buff,,1,-1,1
30425,Spell Zone,,1,5,1
30426,Explosion,,1,11,1
30427,Explosion,,1,11,1
30428,Explosion,,1,11,1
30429,Ground AL,,1,-1,1
30430,Ballista,,1,-1,1
40001,Exhausted,Immobilized; unable to move or cast most skills,1,2,0
40002,Immobilized,Immobilized; unable to move or cast most skills,1,4.5,0
40003,Cannot be Selected,,2,-1,1
70001,Defeat immediately,,1,-1,1
70002,Multiplier mark,,1,-1,1
70003,Triple multiplier against target,,1,-1,1
70004,Immune to specific resolution point,,1,-1,1
70005,Super Armor,Super Armor,1,-1,0
70006,Defeater grants buff mark,,1,-1,1
70007,Connection Test,,1,-1,1
70008,DMG Reduction,,1,20,1
70009,Fragile,,1,-1,1
70010,Vulnerable,,1,-1,1
70011,Toughness,,1,-1,1
70012,Approach the fireball,Silence,1,15,0
70013,Scalded,Heat Up,1,15,0
70014,Slice,,1,3,1
70015,Amplify,Spirit Lantern,1,20,0
70016,Explosion,,1,13.5,1
70017,Pop,,1,15,1
70018,Connect,Leave immediately,1,20,0
70019,DMG Reduction,,1,-1,1
70020,Amplify,,1,-1,1
70021,Immobilized,Immobilized; unable to move or cast most skills,1,15,0
70022,Drowning,Become drowned and receive reduced healing,1,15,0
70023,Immunity,,1,12,1
70024,Immunity,,1,12,1
70025,Immune to Parry,Immune to Parry,2,-1,0
70026,Heal Enhancement,,1,-1,1
70027,DMG Reduction,,1,-1,1
70028,Amplify,,1,-1,1
70029,Amplify,,1,-1,1
70030,Vulnerable,Increases Damage Taken,1,40,0
70031,Effect,,1,-1,1
70032,Effect,,1,-1,1
70033,Effect,,1,-1,1
70034,Effect,,1,-1,1
70035,Knockback,,1,-1,1
70036,Effect,,1,-1,1
70037,Effect,,1,-1,1
70038,Effect,,1,-1,1
70039,Effect,,1,-1,1
70040,Effect,,1,5,1
70041,Immobilized,,1,2.5,1
70042,Nine Mysteries Gameplay,,1,-1,1
70043,Nine Mysteries Gameplay,,1,-1,1
70044,Chaos,"Disoriented, stay calm!",1,30,0
70045,Enhance,The Void King is enraged and more dangerous now.,1,300,0
70046,Propulsion,,1,1,1
70047,Cold Poison,"Suffering continuous poison damage, more stacks increase damage and lock certain Martial Arts into unusable state, four stacks cause burst damage",1,15,0
70048,Cold Poison Eruption,"Cold Poison erupts, causing stun effect and burst damage but triggers one ""Cold Poison"" cleanse",1,2,0
70049,Memory of Past Life,,1,-1,1
70050,Calamity of This Life,,1,-1,1
70051,Grudge of Next Life,,1,-1,1
70052,Three-Life Pill,,1,-1,1
70053,Poison of Lives,,1,2,1
70054,Poison of Lives,,1,2,1
70055,Grow,,1,185,1
70056,Ripen,,1,2,1
70057,Mature,,1,5,1
70058,Cold Poison Eruption,"Tri-Life Dream Pact poison erupts, causing stun effect and burst damage",1,3.5,0
70059,Three-Life Pill,,1,2,1
70060,Dream Entanglement,,1,2,1
70061,Speed Up,,1,3,1
70062,Collision removed,,1,2,1
70063,Invincibility,,1,-1,1
70064,Scorch,"Suffer from the extreme heat, taking scorch damage over time",1,-1,0
70065,Recover,,1,2,1
70066,Burned,,1,-1,1
70067,测试用,,1,-1,1
70068,DMG Reduction,,1,-1,1
70069,Amplify,,1,-1,1
70070,Amplify,,1,-1,1
70071,Immobilized,,1,5,1
70072,Burst,,1,5,1
70073,Three-Life Pill,,1,5,1
70074,Cold Poison,,1,15,1
70075,Cold Poison,,1,15,1
70076,Cold Poison,,1,15,1
70077,Cold Poison,,1,15,1
70078,Cold Poison,,1,15,1
70079,Tri-Life Dream Pact,,1,-1,1
70080,Burst,,1,2,1
70081,Mature,,1,5,1
70082,Tri-Life Dream Pact,,1,16,1
70083,Arena Survivability Modifier,,1,-1,1
70084,Thorn,,1,-1,1
70085,Unconscious,,1,60,1
70086,Unconscious,,1,60,1
70087,Unconscious,,1,60,1
70088,Unconscious,,1,60,1
70089,Effect,,1,5,1
70090,Lone Silhouette,,1,5.2,1
70091,Immobilized,,1,4.5,1
70092,Formless Storm,,1,-1,1
70093,Formless Storm,,1,-1,1
70094,Test,Silence,1,15,0
70097,Effect,,1,-1,1
70098,Effect,,1,-1,1
70099,Test,,1,3,1
70100,Test,,1,3,1
70101,Defeat immediately,,1,-1,1
70102,Immobilized,,1,60,1
70103,Slay Daylight,,1,-1,1
70104,Qi DMG Reduction,,1,-1,1
70105,Silence,Silence,1,600,0
70108,Dispel Silence,Dispel Immunity,1,3,0
70110,Silence Immunity,Silence Immunity,1,600,0
70112,Dispel Silence Immunity,Dispel Silence Immunity,1,3,0
70114,Immobilized,Immobilized,1,60,0
70115,Dispel Silence and Immobilize,Dispel Silence and Immobilize,1,3,0
70116,Silence and Immobilize Immunity,Silence and Immobilize Immunity,1,600,0
70117,Healing Success,Successfully healed,1,3,0
70118,Slow Down,Movement Speed reduced by 25%,1,-1,0
70119,Slow Down,Movement Speed reduced by 50%,1,-1,0
70120,Slow Down,Movement Speed reduced by 75%,1,-1,0
70121,Dispel Immunity,Dispel Slow Down,1,3,0
70122,Silence Immunity,Slow Down Immunity,1,600,0
70123,Invincibility,,1,1.5,1
70124,Effect,,1,999,0
70125,Super Armor,Super Armor,1,-1,1
70126,Super Armor,Super Armor,1,-1,1
70127,Fragile,,1,3600,1
70128,Mark,,1,5,1
70129,Mark,,1,5,1
70130,Mark,,1,5,1
70132,Birth,Revive!,1,600,0
70133,Stealth,,1,60,1
70134,Preparing for Arena,,1,30,1
70135,Bonus Default,,1,5,1
70136,Floor ID,,1,5,1
70137,Parameters Ready,,1,5,1
70138,Add 2,,1,5,1
70139,Amplify,,1,-1,1
70140,Amplify,,1,-1,1
70141,Invincibility,,1,5,1
70142,Animal,,1,-1,1
70143,Defeated,,1,5,1
70144,Giant Bear,,1,-1,1
70145,Giant Bear,,1,-1,1
70146,Enemy,,1,30,1
70147,Weakened,,1,-1,1
70148,Smoke Bomb Immunity,,1,-1,1
70149,Defeated,,1,10,1
70150,Master,,1,-1,1
70151,Defeated,,1,10,1
70152,Defeated,,1,10,1
70153,Defeated,,1,10,1
70154,Defeated,,1,10,1
70155,Defeated,,1,10,1
70158,Formless,,1,-1,1
70159,Appear,,1,10,1
70160,Super Armor,,1,-1,1
70161,Exhausted,Take increased damage when Qi is empty,1,7,0
70162,Leave,,1,6,1
70163,Enemy,,1,10,1
70164,Tutorial,,1,-1,1
70165,Tutorial,,1,2,1
70166,Stealth,,1,-1,1
70167,Appear,,1,2,1
70168,Animal,,1,-1,1
70169,Monkey,,1,-1,1
70170,De-amplify,,1,-1,1
70171,Stealth,,1,2,1
70172,Stealth,,1,8,1
70173,Phase 2,,1,-1,1
70174,Phase 2,,1,-1,1
70175,Stealth,,1,10,1
70176,Super Armor,,1,1.5,1
70177,Invincibility,,1,20,1
70178,Might of Thunder,,1,-1,1
70179,Invincibility,,1,5,1
70180,Hard,,1,-1,1
70181,Qi Lock,,1,-1,0
70182,Activate Shield,Turn on ice shield at the right timing to negate fire damage,1,60,0
70183,Activate Shield,Turn on fire shield at the right timing to negate frost damage,1,60,0
70184,Defense,Able to defend against full-screen damage,1,10,0
70185,Nightmare Affliction,The clone will explode after 30s,1,31,0
70186,Might of Fire,You have defeated a Flame Clone; you now deal double damage against Ice Clones,1,100,0
70187,Might of Flower,You have defeated an Ice Clone; you now deal double damage against Flame Clones,1,100,0
70188,Burn,"Burned by flames, continuously dealing damage to self and nearby allies.",1,20,0
70189,Frozen,Frozen by frost. You must kill frost minions to be rescued.,1,20,0
70190,Might of Fire,,1,-1,1
70191,Might of Flower,,1,-1,1
70192,Focus,Caught by Qianye's charming gaze,1,5,1
70193,Everlasting Gu,"Afflicted by the venomous gu, losing HP over time",1,600,0
70194,Heal,Heal the target affected by gu,1,60,0
70195,Marker,,1,-1,1
70196,Tank,,1,-1,0
70197,Invincibility,,1,-1,1
70198,Performance Only,,1,-1,1
70199,Performance Only,,1,-1,1
70200,Test,,1,60,1
70201,Test,,1,6000,1
70203,Multiplayer Boss Healing Adjustment,,1,-1,1
70204,Tank,,1,-1,0
77000,Burning,,1,-1,1
77001,Burning,"Lit on fire, losing HP continuously",1,5,0
77002,Blind,Causes Blind and Poison over time,1,10,1
77006,Effect,,1,20,1
77007,Drowning,"Drowns while diving, losing HP over time.",1,999,0
77008,Poisoned,"Poisoned, losing HP over time",1,999,0
77009,Health Regeneration,HP Recovery,1,1,0
77010,Super Armor,Immune to Weak Attack's Stagger Effect,1,-1,1
77011,Super Armor,Immune to Weak Attack's Stagger Effect,1,1,1
77012,Burning,"Lit on fire, losing HP continuously",1,5,0
77013,Weakened,,1,-1,1
77014,Invincibility,,1,-1,1
77015,Wooden Hit,,2,-1,1
77016,Fragile,,1,3600,1
77017,Breezing Sword of Annihilation,,1,3,0
77018,Blind,"Vision blocked by Smoke Bomb, unable to see nearby units clearly",1,4,0
77019,Recover Qi,,1,1,1
77020,Invincibility,,1,0.2,1
77021,Unlock,,1,4,1
77022,DMG Reduction,,1,-1,1
77023,DMG Reduction,,2,-1,1
77024,Ashes Beneath Frost,Lose HP continuously in the scene; attack or deflect to recover,1,-1,2
77025,Super Armor,Super Armor,1,-1,1
77026,Invincibility,,1,-1,1
77027,Damage Boost,,1,-1,1
77028,Turn off Physics,,1,-1,1
77029,Immune to Illness,,1,-1,1
77030,Time-frozen Filter,,1,10,1
77031,Time-frozen Filter,,1,10,1
77032,Propulsion,,1,5,1
77033,Time-frozen Filter,,1,10,1
77034,Gravity,,1,6,1
77035,HP Lock,,1,95,1
77036,Switch,,1,-1,1
77037,Switch,,1,-1,1
77038,Anti-gravity,,1,-1,1
77039,Gravity,,1,3,1
77040,Repulsion,,1,3,1
77041,Time-frozen Filter,,1,10,1
77042,Time-frozen Filter,,1,10,1
77043,Illusion Blood,,1,-1,1
77044,Unlock,,1,-1,1
77045,Dissipate,,1,20,1
77046,Burning,,1,5,0
77047,Bloodflame,,2,-1,0
77048,Blood Fury,,1,20,0
77049,Bleeding,,1,0.5,0
77050,Bleeding,,2,-1,0
77051,HP Lock,,1,-1,1
77052,HP Lock,,1,-1,1
77054,Blood Fury,,1,60,0
77055,HP Lock,,1,-1,1
77056,Unlock,,1,-1,1
77057,Burning,"Lit on fire, losing HP continuously",1,5,0
77058,Burning,"Lit on fire, losing HP continuously",1,5,0
77059,Braveheart,,2,-1,0
77060,Braveheart,,1,3,0
77061,Braveheart,,1,1,1
77062,Braveheart,,1,1,1
77063,HP Lock,,1,-1,1
77064,Health Regeneration,,1,1,1
77065,Invincibility,,1,5,1
77066,Fledgling Takes Flight,,1,1.5,0
77067,Invincibility,,1,-1,1
77068,Vulnerable,,1,-1,1
77071,Transition to Phase 2 HP Lock,,1,-1,1
77072,Taunt,,1,-1,1
77073,Damage Boost,,2,-1,1
79999,Mastery,,1,-1,1
90000,Blind,"Blinded, visibility greatly reduced",1,8,0
90001,Blind,"Blinded, visibility greatly reduced",1,8,0
96002,DMG Reduction,,1,2,1
96003,Aggro Lost,,1,5,1
96004,Qi Regeneration,,1,-1,1
96005,Quick Draw,,2,-1,0
96006,Swift Arrow,,2,-1,0
96007,Arrow of Precision,,2,-1,0
96008,Longshot,,2,-1,0
96009,Precision,,2,-1,0
96010,Rapidfire,,2,-1,0
96011,Steady,,2,-1,0
96012,Plume,,2,-1,0
96020,Skyward Spectacle,,1,5,1
96021,DMG Reduction & HP Recovery,,1,-1,1
96022,Dao Lord Moving Effect,,2,-1,1
96023,Dao Lord Whac-A-Mole Immunity Buff + Ignore Qi + Qi Lock,,1,-1,1
96024,Invincibility,,1,2,1
96025,HP Lock,,1,-1,1
96026,HP Lock,,1,-1,1
96027,Stealth,,1,0.1,1
96028,Immune to Blinding Mist,,1,-1,1
96029,Immune to Acupoint Strike,,1,-1,1
96030,Sandstorm Pull,,1,10,1
96031,Golden Body,"Generate a shield that absorbs HP damage, gain interruption resistance and DMG Reduction.",1,8,0
96032,Intoxicated,"While active, you can cast Dragon's Breath and Drunken Poet without drinking again.",1,30,0
96033,Unable to lock,,1,10,1
96034,Qi consumption halved,,1,10,1
96035,Mystery,"While active, enhances dodge abilities and reduces Endurance cost.",1,15,0
96036,Drunken Aura,,1,6,1
96037,Flame-Alcohol Mixed Explosion,,1,0.2,1
96038,Blazing Flame,,2,-1,0
96039,Toad Venom,"The Golden Toad's venom has entered your body. Upon expiration, unleash poison damage in an area.",1,5,0
96040,Character Toad Style Breakthrough 1 Mark,,1,10,1
96041,Toad Venom,"The Golden Toad's venom has entered your body. Upon expiration, unleash poison damage in an area and spread to other units.",1,5,0
96042,Toad Venom,"The Golden Toad's venom has entered your body. Upon expiration, unleash poison damage in an area and spread to other units.",1,5,0
96043,Toad Venom,"The Golden Toad's venom has entered your body. Upon expiration, unleash poison damage in an area.",1,5,0
96044,Character Free Morph Breakthrough 1 Mark,,1,10,1
96045,Cripple,"Become crippled, unable to use Lightness Skill temporarily.",1,5,0
96046,Character Meridian Touch Breakthrough 1 Mark,,1,10,1
96047,Character Meridian Touch Breakthrough 2 Mark,,1,10,1
96048,Character Meridian Touch Breakthrough 2 Target Vulnerability,,1,10,1
96049,Character Meridian Touch Breakthrough 3 Mark,,1,10,1
96050,Character Celestial Seize Breakthrough 1 Mark,,1,10,1
96051,Character Celestial Seize Breakthrough 2 Mark,,1,10,1
96052,Character Celestial Seize Breakthrough 2 Target Vulnerability,,1,10,1
96053,Character Celestial Seize Breakthrough 3 Mark,,1,10,1
96054,Character Tai Chi Breakthrough 1 Mark,,1,10,1
96055,Character Tai Chi Breakthrough 2 Mark,,1,10,1
96056,Character Tai Chi Breakthrough 2 Target Vulnerability,,1,10,1
96057,Character Tai Chi Breakthrough 3 Mark,,1,10,1
96058,Character Cloud Steps Breakthrough 1 Mark,,1,10,1
96059,Character Cloud Steps Breakthrough 2 Mark,,1,10,1
96060,Character Cloud Steps Breakthrough 2 Target Vulnerability,,1,10,1
96061,Character Cloud Steps Breakthrough 3 Mark,,1,10,1
96062,Mystery,,1,15,1
98630,Rage,,2,-1,0
98631,DMG Reduction,,2,2,1
98632,Possess,Immobilized; return to normal after taking damage,1,3,0
98633,Continuous Possession,,1,40,1
98634,Invisibility,,2,-1,1
98635,Invisibility,,2,-1,1
98636,Blind,,1,8,1
98637,Qi Lock + HP Lock + Super Armor,,1,2,1
98639,Invisibility,,2,1.5,1
98640,Weapon Vanished,,2,5,1
98641,Unable to lock,,1,2.466,1
98642,Invisibility,,2,2.466,1
98643,Bear-Pushing Timing Buff,,1,1,1
98650,Over 5,,1,1,1
98657,Over 5,,1,1,1
98658,Self Check,,1,1,1
98670,Interruption Resistance,,2,2,1
98671,DMG Reduction,,2,2,1
98672,DMG Reduction,,2,2,1
98673,Silence Stack,,1,1,1
98674,Silence,"Silenced, unable to cast skills.",1,3,0
98675,DMG Reduction,,2,2,1
98676,DMG Reduction,,2,2,1
98677,Golden Body,"Generate a shield that absorbs HP damage, gain interruption resistance and DMG Reduction.",1,10,0
98678,Cannot be Selected,,1,2,1
98679,Target Mark 1,,1,1,1
98680,Target Mark 2,,1,1,1
98681,Immobilized,"Immobilized, unable to move or cast most skills.",1,7,0
98682,Immobilized,"Immobilized, unable to move or cast most skills.",1,7,0
98683,Immobilized,"Immobilized, unable to move or cast most skills.",1,7,0
98684,Immobilized,"Immobilized, unable to move or cast most skills.",1,7,0
98685,Immobilized,"Immobilized, unable to move or cast most skills.",1,7,0
98686,Immobilized,"Immobilized, unable to move or cast most skills.",1,7,0
98687,Immobilized,"Immobilized, unable to move or cast most skills.",1,7,0
98688,Immobilized,"Immobilized, unable to move or cast most skills.",1,7,0
98689,Immobilized,"Immobilized, unable to move or cast most skills.",1,7,0
98690,Immobilized,"Immobilized, unable to move or cast most skills.",1,7,0
98691,Immobilized,"Immobilized, unable to move or cast most skills.",1,7,0
98692,Immobilized,"Immobilized, unable to move or cast most skills.",1,7,0
98693,Character Leaf Loong Breakthrough 2 Mark,,1,1,1
98694,Character Leaf Loong Breakthrough 3 Mark,,1,1,1
98695,Guard Broken,Reduces Defense and Endurance Recovery.,1,5,0
98696,Aggro Lost,,1,7,1
98697,Touch of Death Enhancement,Increases Touch of Death's damage by 20%.,1,7,0
98698,Ruby Assist Initial Stealth Buff,,1,-1,1
98699,Ghost Master Flash Exposure,,1,2,1
98700,Till Death Do Us Part,"Blessed by Yi Dao: While the soul link is active, reduces damage taken by 30% but increases Yi Dao's damage taken by 30%.",1,10,0
98701,Till Death Do Us Part,"While the soul link is active, reduces damage taken by 30% but increases Yi Dao's damage taken by 30%.",1,-1,0
98702,Light as a Swallow,Increases Movement Speed by 50% and damage by 20%.,1,10,0
98703,Yuan Jin'gang - Qi Specialty,,1,-1,1
98704,Continuous Possession,,1,1,1
98705,Assist NPC DMG Reduction Buff,,1,-1,1
98706,Ghost Master Phase Change HP Lock,,1,-1,1
98707,Minor Super Armor,,2,2,1
98708,Assist NPC Illusion,,2,-1,1
98709,DMG Reduction,,2,3,1
98710,Contortion Shrink Buff,,1,-1,1
98711,Tomb Raiding Light on Mark Buff,,1,-1,1
98712,Tomb Raiding Smoke Bomb Single-use,,1,-1,1
98713,Tomb Raiding Wind Powder Single-use,,1,-1,1
98714,Tomb Raiding Vision Powder Single-use,,1,-1,1
98715,Tomb Raiding Doppelganger Single-use,,1,-1,1
98716,Tomb Raiding Night Vision Potion Single-use,,1,-1,1
98717,Tomb Raiding Grave Robber Single-use,,1,-1,1
98718,Tomb Raiding Revival Buff,,1,3,1
98719,Smoke of Deception,,1,2,1
98720,Swiftness Powder,Increases your Movement Speed.,1,10,0
